Sampling Type,Coreset Size,Average Cost,Reduction in Data Size,Error,Avg Rand Index,Data,Optimal Cost,Avg Time,Clustering Algorithm
Norm Based Sampling,7000,1940703.1564464048,88.33333333333333,1.7859063917460634,0.9147189776496276,FMNIST,1906652.1341148848,8.837915563583374,KMeans++
Norm Based Sampling,10000,1932957.4759927697,83.33333333333334,1.3796613135251607,0.9250255456479828,FMNIST,1906652.1341148848,10.36447262763977,KMeans++
Norm Based Sampling,20000,1928004.9941298256,66.66666666666666,1.1199137814855569,0.9312182205258978,FMNIST,1906652.1341148848,14.051547622680664,KMeans++
Uniform Sampling,100,2179590.160709571,99.83333333333331,14.315040573533404,0.909433271110074,FMNIST,1906652.1341148848,1.094506359100342,KMeans++
Uniform Sampling,500,1959500.23010843,99.16666666666669,2.7717744127498523,0.9424510824069288,FMNIST,1906652.1341148848,1.2544838428497314,KMeans++
Uniform Sampling,1000,1949074.6788370265,98.33333333333331,2.2249755979653343,0.9417514454129792,FMNIST,1906652.1341148848,1.5652577877044678,KMeans++
Uniform Sampling,2000,1932200.0346314723,96.66666666666669,1.3399350652104003,0.9406579068540032,FMNIST,1906652.1341148848,3.411701822280884,KMeans++
Uniform Sampling,5000,1914822.0882406696,91.66666666666666,0.4284973634992677,0.9780145131307744,FMNIST,1906652.1341148848,10.41155939102173,KMeans++
Uniform Sampling,7000,1914251.5869428844,88.33333333333333,0.3985757387006233,0.9770578918537532,FMNIST,1906652.1341148848,7.53595380783081,KMeans++
Uniform Sampling,10000,1914029.2718645693,83.33333333333334,0.3869157680988913,0.9668097951632528,FMNIST,1906652.1341148848,9.171647214889528,KMeans++
Uniform Sampling,20000,1910740.443950196,66.66666666666666,0.2144234788381287,0.9778927649905278,FMNIST,1906652.1341148848,27.72464542388916,KMeans++
Uniform Sampling,100,59586487.809757136,99.0,29.143474554444527,0.9381488948894888,KDD,84094566.35795954,0.8457414150238037,KMediod
Uniform Sampling,500,58609023.68283578,95.0,30.305813774746404,0.9419683448344834,KDD,84094566.35795954,1.4460368633270264,KMediod
Uniform Sampling,1000,70780678.27764055,90.0,15.832043206747365,0.9418817521752176,KDD,84094566.35795954,2.167944431304932,KMediod
Uniform Sampling,2000,80883442.46721523,80.0,3.8184677438917327,0.9624091569156916,KDD,84094566.35795954,3.783003807067871,KMediod
Uniform Sampling,5000,82172112.39911011,50.0,2.2860620395689457,0.9533280088008802,KDD,84094566.35795954,9.447439813613892,KMediod
Uniform Sampling,7000,93482340.22869876,30.0,11.163353683017917,0.9527660566056608,KDD,84094566.35795954,15.505973815917969,KMediod
Uniform Sampling,10000,99740637.50776792,0.0,18.605329484914428,0.9513336133613362,KDD,84094566.35795954,19.77832384109497,KMediod
Norm Based Sampling,100,64266209.65957229,99.0,29.874015789575065,0.912244500450045,KDD,91643932.5353789,0.5004335880279541,KMediod
Norm Based Sampling,500,58248338.14459622,95.0,36.4405951020166,0.9191894069406942,KDD,91643932.5353789,0.8787844181060791,KMediod
Norm Based Sampling,1000,67575789.51548809,90.0,26.262669392323783,0.9318587178717872,KDD,91643932.5353789,1.299047660827637,KMediod
Norm Based Sampling,2000,69647761.7328795,80.0,24.001775342855165,0.9363046184618462,KDD,91643932.5353789,2.2124508380889893,KMediod
Norm Based Sampling,5000,88452752.20791827,50.0,3.482151233775007,0.9544926172617264,KDD,91643932.5353789,4.699977016448974,KMediod
Norm Based Sampling,7000,80201862.11058989,30.0,12.485355121979111,0.9545700130013002,KDD,91643932.5353789,6.540688800811767,KMediod
Norm Based Sampling,10000,89415742.76388338,0.0,2.4313554753178384,0.9686986338633864,KDD,91643932.5353789,9.41299376487732,KMediod
Uniform Sampling,100,2818475.35021373,99.0,32.93556154793673,0.94258201820182,Synthetic,2120181.625890514,0.6609752178192139,KMediod
Uniform Sampling,500,2356944.6125554256,95.0,11.167108693599166,0.968410213021302,Synthetic,2120181.625890514,1.150209617614746,KMediod
Uniform Sampling,1000,2404951.208763213,90.0,13.431376793159911,0.9643592119211922,Synthetic,2120181.625890514,1.7399561405181885,KMediod
Uniform Sampling,1500,2310494.0043488904,85.0,8.976229967017185,0.9642769756975698,Synthetic,2120181.625890514,2.333882761001587,KMediod
Uniform Sampling,3500,2337107.0130563653,65.0,10.231453028215869,0.9649956915691568,Synthetic,2120181.625890514,4.797804450988769,KMediod
Uniform Sampling,5000,2172757.7220446025,50.0,2.4797920853599384,0.9679425462546254,Synthetic,2120181.625890514,6.4191583633422855,KMediod
Uniform Sampling,7000,2055249.988438238,30.0,3.0625507107205268,0.9681979837983798,Synthetic,2120181.625890514,8.733968782424927,KMediod
Uniform Sampling,10000,2239923.110251276,0.0,5.6476993715322825,0.9652329152915292,Synthetic,2120181.625890514,12.606362199783325,KMediod
Norm Based Sampling,100,2887759.0917780893,99.0,37.25819324795511,0.9239629202920292,Synthetic,2103888.316933759,0.6762094020843505,KMediod
Norm Based Sampling,500,2403946.611982732,95.0,14.26208286028618,0.949065378537854,Synthetic,2103888.316933759,1.1076790332794189,KMediod
Norm Based Sampling,1000,2273695.2259850004,90.0,8.071099006753396,0.956453197319732,Synthetic,2103888.316933759,1.6901708126068116,KMediod
Norm Based Sampling,1500,2213080.640524269,85.0,5.190024713367351,0.9620023682368236,Synthetic,2103888.316933759,2.233178806304932,KMediod
Norm Based Sampling,3500,2056329.1249773256,65.0,2.260537860952001,0.960498205820582,Synthetic,2103888.316933759,4.658646774291992,KMediod
Norm Based Sampling,5000,2351240.331427096,50.0,11.756898524624717,0.9564352835283528,Synthetic,2103888.316933759,6.423628807067871,KMediod
Norm Based Sampling,7000,2308320.691065497,30.0,9.716883376665225,0.9527173437343734,Synthetic,2103888.316933759,8.84620442390442,KMediod
Norm Based Sampling,10000,2222609.28895258,0.0,5.642931284101911,0.954493209320932,Synthetic,2103888.316933759,12.566387605667114,KMediod
Uniform Sampling,10,42011597.73,97.5,25.56713877250596,0.6265137844611529,Face,33457477.920328952,0.6113068103790283,KMediod
Uniform Sampling,20,39605114.25746031,95.0,18.37447625840327,0.7465639097744361,Face,33457477.920328952,1.7325527667999268,KMediod
Uniform Sampling,50,36721171.39908536,87.5,9.75475045228489,0.8054962406015038,Face,33457477.920328952,2.663344383239746,KMediod
Uniform Sampling,70,35546759.975940555,82.5,6.244589208387831,0.8410350877192982,Face,33457477.920328952,4.51623272895813,KMediod
Uniform Sampling,100,34372491.68952896,75.0,2.7348557813559435,0.8416040100250626,Face,33457477.920328952,5.969140768051148,KMediod
Norm Based Sampling,10,42477192.65519045,97.5,22.78821174060388,0.7070225563909774,Face,34593868.623907976,1.2623215675354005,KMediod
Norm Based Sampling,20,39712887.4352381,95.0,14.797474277833004,0.7110877192982457,Face,34593868.623907976,2.049678421020508,KMediod
Norm Based Sampling,50,36354188.94619204,87.5,5.0885327149201816,0.8038621553884712,Face,34593868.623907976,2.4688476085662843,KMediod
Norm Based Sampling,70,35547176.93852244,82.5,2.7557146758533726,0.8058295739348372,Face,34593868.623907976,3.9313120365142815,KMediod
Norm Based Sampling,100,34598747.41339902,75.0,0.0141030468262538,0.7946791979949875,Face,34593868.623907976,5.987773799896241,KMediod
Statistical Leverage Sampling,100,59951506.52809723,99.0,44.235020218543774,0.8804474807480748,KDD,107507447.79796936,0.8279047966003418,KMediod
Statistical Leverage Sampling,500,72260296.91169515,95.0,32.78577587713879,0.9156460326032604,KDD,107507447.79796936,3.825965166091919,KMediod
Statistical Leverage Sampling,1000,68466708.38825902,90.0,36.31445096071545,0.907417497749775,KDD,107507447.79796936,2.5004856109619142,KMediod
Statistical Leverage Sampling,1500,81936968.86185549,85.0,23.78484417578822,0.9352792679267926,KDD,107507447.79796936,2.054748964309693,KMediod
Statistical Leverage Sampling,3500,89684631.65367222,65.0,16.5782152858751,0.9495795059505948,KDD,107507447.79796936,4.393272781372071,KMediod
Statistical Leverage Sampling,5000,89761958.93679222,50.0,16.506287912745268,0.9564490809080908,KDD,107507447.79796936,7.612022829055786,KMediod
Statistical Leverage Sampling,7000,101664944.82342342,30.0,5.434509975090592,0.977465194519452,KDD,107507447.79796936,12.113064002990722,KMediod
Statistical Leverage Sampling,10000,88692869.33836749,0.0,17.500720968614843,0.9465001580158016,KDD,107507447.79796936,13.797018194198609,KMediod
Statistical Leverage Sampling,100,2741424.2681178115,99.0,19.661183192562,0.9428071447144716,Synthetic,2290988.769270514,1.6822498321533204,KMediod
Statistical Leverage Sampling,500,2495658.25305301,95.0,8.933674687880105,0.9572603780378036,Synthetic,2290988.769270514,3.6526701927185057,KMediod
Statistical Leverage Sampling,1000,2372862.861752891,90.0,3.573744820601928,0.9639610521052104,Synthetic,2290988.769270514,5.379212379455566,KMediod
Statistical Leverage Sampling,1500,2334417.9435617947,85.0,1.8956519941871683,0.9643099229922992,Synthetic,2290988.769270514,7.489664220809937,KMediod
Statistical Leverage Sampling,3500,2119174.59449115,65.0,7.499564252952326,0.9660819721972198,Synthetic,2290988.769270514,18.298666954040527,KMediod
Statistical Leverage Sampling,5000,2137529.2254589773,50.0,6.698397908794669,0.966489700970097,Synthetic,2290988.769270514,19.91514539718628,KMediod
Statistical Leverage Sampling,7000,2270085.612646053,30.0,0.9124076427103778,0.9615860866086609,Synthetic,2290988.769270514,29.023558187484745,KMediod
Statistical Leverage Sampling,10000,2122214.2271032254,0.0,7.36688649159241,0.9643088948894888,Synthetic,2290988.769270514,43.31531238555908,KMediod
Statistical Leverage Sampling,10,42049150.400000006,97.5,27.334476154977907,0.7328897243107768,Face,33022596.60519769,2.0364758014678954,KMediod
Statistical Leverage Sampling,20,39598044.71111111,95.0,19.911965689816324,0.708844611528822,Face,33022596.60519769,2.456633996963501,KMediod
Statistical Leverage Sampling,50,37162312.361063376,87.5,12.536009222285369,0.7726315789473684,Face,33022596.60519769,5.243470239639282,KMediod
Statistical Leverage Sampling,70,35564078.63217341,82.5,7.696190754956225,0.8301328320802005,Face,33022596.60519769,4.514884185791016,KMediod
Statistical Leverage Sampling,100,34835199.27610528,75.0,5.48897681359884,0.8299749373433583,Face,33022596.60519769,7.108712005615234,KMediod
Statistical Leverage Sampling (Weighted),100,7524676.879886119,99.0,655.7735835312803,0.994315903590359,Synthetic,995625.8122608336,0.3892178058624267,KMeans++
