Sampling Type,Coreset Size,Average Cost,Reduction in Data Size,Error,Avg Rand Index,Data,Optimal Cost,Avg Time,Clustering Algorithm
Lightweight Coresets,5000,2205976.0466968506,50.0,6.689201175274012,0.9624298469846984,Synthetic,2067665.7266116089,7.493625783920288,KMedoids
Lightweight Coresets,7000,2097212.4144077324,30.0,1.4289876461096664,0.9618443324332434,Synthetic,2067665.7266116089,10.210408163070678,KMedoids
Lightweight Coresets,10000,2016142.7448234933,0.0,2.4918429088897507,0.9658966976697668,Synthetic,2067665.7266116089,14.296850681304932,KMedoids
Lightweight Coreset (Median),100,82664956.80632786,99.0,2.7316247772934976,0.8637872947294729,worms,80466902.94788279,0.2832716464996337,KMeans++
Lightweight Coreset (Median),500,81887067.44405094,95.0,1.7649051276249204,0.8371609240924093,worms,80466902.94788279,0.3490908145904541,KMeans++
Lightweight Coreset (Median),1000,81524555.65352297,90.0,1.3143946975630565,0.8599257365736573,worms,80466902.94788279,0.5603212833404541,KMeans++
Lightweight Coreset (Median),1500,81313524.37407868,85.0,1.0521362139962485,0.878528392839284,worms,80466902.94788279,0.4838117122650146,KMeans++
Lightweight Coreset (Median),3500,81076805.94782709,65.0,0.7579551065104675,0.8862370157015702,worms,80466902.94788279,0.598590087890625,KMeans++
Lightweight Coreset (Median),5000,80969786.60093048,50.0,0.624957137188946,0.8880649664966496,worms,80466902.94788279,0.7509382724761963,KMeans++
Lightweight Coreset (Median),7000,80887370.28836325,30.0,0.5225345142869388,0.8852316711671167,worms,80466902.94788279,0.8712945461273194,KMeans++
Lightweight Coreset (Median),10000,80809287.56572506,0.0,0.4254974471479651,0.8878409160916092,worms,80466902.94788279,1.1631406784057616,KMeans++
Lightweight Coresets,100,1217704107394.146,99.0,6.914302507732796,0.8294160416041605,worms,1138953422350.6467,0.2705636501312256,KMeans++
Lightweight Coresets,500,1187038585965.61,95.0,4.221872700968037,0.8595888748874888,worms,1138953422350.6467,0.3336518287658691,KMeans++
Lightweight Coresets,1000,1178205554600.7983,90.0,3.4463334039719102,0.8724820602060206,worms,1138953422350.6467,0.5190449237823487,KMeans++
Lightweight Coresets,1500,1174727092185.6582,85.0,3.1409247413453865,0.8699721412141214,worms,1138953422350.6467,0.481683349609375,KMeans++
Lightweight Coresets,3500,1161104892182.4724,65.0,1.9448969024657763,0.8827196119611962,worms,1138953422350.6467,0.6125635623931884,KMeans++
Lightweight Coresets,5000,1156110734983.671,50.0,1.506410384861374,0.8867945754575459,worms,1138953422350.6467,0.8267672538757325,KMeans++
Lightweight Coresets,7000,1153968423417.9084,30.0,1.3183156371989977,0.8864890809080908,worms,1138953422350.6467,0.9531744956970216,KMeans++
Lightweight Coresets,10000,1150123552078.5386,0.0,0.9807363065680246,0.8868016681668166,worms,1138953422350.6467,1.275477075576782,KMeans++
Lightweight Coresets,1000,14711199114548.504,99.04760997723788,4.541949043323051,0.9779574909617904,worms,14072053610223.07,0.9884431838989258,KMeans++
Lightweight Coresets,5000,14297497317061.797,95.2380498861894,1.6020668559345606,0.9889384872240908,worms,14072053610223.07,1.3451398849487304,KMeans++
Lightweight Coresets,10000,14246434627794.035,90.4760997723788,1.2392009183669002,0.989668973727654,worms,14072053610223.07,1.7911516666412353,KMeans++
Lightweight Coresets,15000,14220154573278.787,85.71414965856818,1.052447405033508,0.9905027615046592,worms,14072053610223.07,2.333045816421509,KMeans++
Lightweight Coresets,35000,14164892228892.793,66.66634920332575,0.6597375283041647,0.9915553779193592,worms,14072053610223.07,4.70322813987732,KMeans++
Lightweight Coresets,50000,14141211210485.434,52.38049886189392,0.4914535019403396,0.9927782093379036,worms,14072053610223.07,6.590236520767212,KMeans++
Lightweight Coresets,70000,14128494658044.469,33.33269840665149,0.4010860773042758,0.993449541099188,worms,14072053610223.07,9.171206378936768,KMeans++
Lightweight Coresets,100000,14106913487299.432,4.760997723787845,0.2477241633803634,0.9935334152053265,worms,14072053610223.07,13.35212697982788,KMeans++
Lightweight Coreset (Median),1000,981493518.2894535,99.04760997723788,6.3897463104914145,0.9623966819981892,worms,922545219.1840272,1.0817582607269287,KMeans++
Lightweight Coreset (Median),5000,938157251.7733974,95.23804988618939,1.6922783040574187,0.9880648781188641,worms,922545219.1840272,1.475247287750244,KMeans++
Lightweight Coreset (Median),10000,932128295.4903682,90.47609977237879,1.0387649414970783,0.9898469913308459,worms,922545219.1840272,2.0496196269989015,KMeans++
Lightweight Coreset (Median),15000,930569418.1740261,85.71414965856818,0.869789233431417,0.9905743534276809,worms,922545219.1840272,2.3416021823883058,KMeans++
Lightweight Coreset (Median),35000,925963990.005728,66.66634920332575,0.3705802979202088,0.9926743955055997,worms,922545219.1840272,4.651085948944091,KMeans++
Lightweight Coreset (Median),50000,923549424.2678478,52.38049886189392,0.10885158395908016,0.9939964318628611,worms,922545219.1840272,6.463529968261719,KMeans++
Lightweight Coreset (Median),70000,923917674.2031399,33.33269840665149,0.14876831948970645,0.99352004379381,worms,922545219.1840272,8.963798475265502,KMeans++
Lightweight Coreset (Median),100000,923772487.2178805,4.760997723787845,0.1330306643330488,0.9935719979312656,worms,922545219.1840272,12.84956226348877,KMeans++
